origin_region_id,destination_city_id,industry_group_id,year,compute_condition,inflow_2025,inflow_sim,log_inflow_sim,relative_cost_change,cost_ref,cost_now,effective_cost_elasticity_beta,city_attractiveness_multiplier
hokkaido_outside,tokyo,metal,2025,classical_only,314,368.8392846555676,5.910361006225311,0.0,11579.411673417975,11579.411673417975,-0.36876000000000003,1.1415648538957806
hokkaido_outside,tokyo,metal,2025,quantum_enabled,314,369.2007265086845,5.9113404704184305,-0.003465977780307,11579.411673417975,11539.277689848881,-0.36876000000000003,1.1415648538957806
hokkaido_outside,tokyo,chem_polymer,2025,classical_only,314,368.1797341455808,5.908571226940858,0.0,10905.538343906554,10905.538343906554,-0.31608,1.1415648538957806
hokkaido_outside,tokyo,chem_polymer,2025,quantum_enabled,314,368.42036977828707,5.9092245954103575,-0.002791164458556075,10905.538343906554,10875.099192879621,-0.31608,1.1415648538957806
hokkaido_outside,tokyo,inorganic,2025,classical_only,205,239.94152116336548,5.480395231832317,0.0,12386.642840322103,12386.642840322103,-0.29500800000000005,1.1415648538957806
hokkaido_outside,tokyo,inorganic,2025,quantum_enabled,205,240.04285773629184,5.480817481300786,-0.0020025443373765557,12386.642840322103,12361.83803884311,-0.29500800000000005,1.1415648538957806
hokkaido_outside,osaka,metal,2025,classical_only,138,150.78489314505052,5.015854272472477,0.0,14985.120989129144,14985.120989129144,-0.35966,1.070793540242809
hokkaido_outside,osaka,metal,2025,quantum_enabled,138,150.9214460153917,5.0167594763872865,-0.003465977780306886,14985.120989129144,14933.182892745612,-0.35966,1.070793540242809
hokkaido_outside,osaka,chem_polymer,2025,classical_only,148,161.5978648274281,5.0851109332981475,0.0,14113.049621526128,14113.049621526128,-0.30828,1.070793540242809
hokkaido_outside,osaka,chem_polymer,2025,quantum_enabled,148,161.69706368905952,5.085724607414224,-0.002791164458556181,14113.049621526128,14073.657779020685,-0.30828,1.070793540242809
hokkaido_outside,osaka,inorganic,2025,classical_only,95,103.83761224467901,4.642828258129373,0.0,16029.773087475662,16029.773087475662,-0.28772800000000004,1.070793540242809
hokkaido_outside,osaka,inorganic,2025,quantum_enabled,95,103.88145191748652,4.643250363569095,-0.0020025443373765358,16029.773087475662,15997.672756149906,-0.28772800000000004,1.070793540242809
hokkaido_outside,sapporo,metal,2025,classical_only,297,295.10350686933117,5.68732616554257,0.0,2452.1107073120415,2452.1107073120415,-0.34691999999999995,0.9790231403596195
hokkaido_outside,sapporo,metal,2025,quantum_enabled,297,295.3880507905069,5.688289918332966,-0.003465977780306913,2452.1107073120415,2443.6117460856453,-0.34691999999999995,0.9790231403596195
hokkaido_outside,sapporo,chem_polymer,2025,classical_only,220,218.54866709394878,5.387008722429818,0.0,2309.4081198860936,2309.4081198860936,-0.29735999999999996,0.9790231403596195
