origin_region_id,destination_city_id,industry_group_id,year,compute_condition,inflow_2025,inflow_sim,log_inflow_sim,relative_cost_change,cost_ref,cost_now
hokkaido_outside,tokyo,metal,2025,classical_only,314,323.09972,5.77796100622531,0.0,11641.533427999999,11641.533427999999
hokkaido_outside,tokyo,metal,2025,quantum_enabled,314,323.301110946613,5.778584120997098,-0.0027794493053787043,11641.533427999999,11609.176376000001
hokkaido_outside,tokyo,chem_polymer,2025,classical_only,314,322.52196000000004,5.776171226940859,0.0,10962.04958625,10962.04958625
hokkaido_outside,tokyo,chem_polymer,2025,quantum_enabled,314,322.647040935934,5.776558973212981,-0.002150881075157178,10962.04958625,10938.47152125
hokkaido_outside,tokyo,inorganic,2025,classical_only,205,210.18650000000002,5.347995231832317,0.0,12447.943020800001,12447.943020800001
hokkaido_outside,tokyo,inorganic,2025,quantum_enabled,205,210.236624574755,5.3482336800625045,-0.0015175819786799813,12447.943020800001,12429.0522468
hokkaido_outside,osaka,metal,2025,classical_only,138,140.816028,4.947454272472477,0.0,15065.513848,15065.513848
hokkaido_outside,osaka,metal,2025,quantum_enabled,138,140.89532703638565,4.94801725324739,-0.0027794493053788674,15065.513848,15023.640016000001
hokkaido_outside,osaka,chem_polymer,2025,classical_only,148,150.91411999999997,5.016710933298148,0.0,14186.1818175,14186.1818175
hokkaido_outside,osaka,chem_polymer,2025,quantum_enabled,148,150.96854245006733,5.017071486966352,-0.0021508810751573815,14186.1818175,14155.669027499998
hokkaido_outside,osaka,inorganic,2025,classical_only,95,96.97258,4.574428258129373,0.0,16109.102732800002,16109.102732800002
hokkaido_outside,osaka,inorganic,2025,quantum_enabled,95,96.99683660251634,4.574678365626396,-0.0015175819786799282,16109.102732800002,16084.655848800001
hokkaido_outside,sapporo,metal,2025,classical_only,297,301.426488,5.708526165542571,0.0,2465.2659024,2465.2659024
hokkaido_outside,sapporo,metal,2025,quantum_enabled,297,301.6302506056033,5.709201931520507,-0.002779449305378921,2465.2659024,2458.4138208
hokkaido_outside,sapporo,chem_polymer,2025,classical_only,220,223.23136000000005,5.408208722429818,0.0,2321.3752065,2321.3752065
hokkaido_outside,sapporo,chem_polymer,2025,quantum_enabled,220,223.33000844771345,5.40865053605853,-0.002150881075157275,2321.3752065,2316.3822044999997
hokkaido_outside,sapporo,inorganic,2025,classical_only,178,180.768256,5.197215857321703,0.0,2636.0349926400004,2636.0349926400004
hokkaido_outside,sapporo,inorganic,2025,quantum_enabled,178,180.8239022431513,5.19752364189237,-0.0015175819786799405,2636.0349926400004,2632.03459344
hokkaido_outside,sendai,metal,2025,classical_only,143,144.68167999999997,4.974536018849491,0.0,8902.349092,8902.349092
hokkaido_outside,sendai,metal,2025,quantum_enabled,143,144.76682422089152,4.9751243392042745,-0.0027794493053789325,8902.349092,8877.605464
hokkaido_outside,sendai,chem_polymer,2025,classical_only,136,137.54604799999998,4.923958755587419,0.0,8382.74380125,8382.74380125
