Path,Git status before,SHA-256,Size,Reason,Referenced status,Reproducibility status,Deletion timestamp,Result
/Users/tstakuma/Desktop/github/research/.venv,tracked_or_ignored_clean,directory_aggregate_or_link,417479303,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache,??,directory_aggregate_or_link,31498262,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/scripts_pycache,tracked_or_ignored_clean,directory_aggregate_or_link,615452,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/tmp,tracked_or_ignored_clean,directory_aggregate_or_link,0,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/rendered_tmp,tracked_or_ignored_clean,directory_aggregate_or_link,0,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/IEEE-conference-template-062824.aux,??,3d503308d0a077b0fb0f64d9a99f1093790c1bf8d66c80b6db338998a93cc43d,2547,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/main.aux,??,a8a2bae783145ba00135a21e8df0bbcced14124b8fe57f72669d6edee0c156ef,598,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/IEEE-conference-template-062824.synctex.gz,??,cb9110248809d006a0438f5ca59d9ee1ddf5990b1b003ae36206c27347cd259e,48417,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/IEEE-conference-template-062824.fls,??,2c2a9981564c6b9d0664c25ac84526f42833064dddd26d745296fcde2d27b01e,15953,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/main.fls,??,253ea393815437f70e7ecbda8f59dc2e3689b3786d26401463c788ee9e5b9e02,9982,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/IEEE-conference-template-062824.fdb_latexmk,??,08cbb6dae02221f9f0b99eaa81255cdb8e630684f1791798e61b23c6615cbd84,11513,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
/Users/tstakuma/Desktop/github/research/08_documents/supplementary/submissions/ieee_qce_2026_bof_quantum_future_design_overleaf/main.fdb_latexmk,??,d823dcec2212ef9bbbe99daa90c6a06f4c262ab42d8071a9329456849ad6b53f,7195,confirmed regenerable environment/cache/temporary/build artifact,not required by current research artifacts; LaTeX auxiliaries may reference each other only,requirements/source retained; artifact regenerable,2026-07-12T02:27:35.896002+00:00,deleted
