base_route_proxy_id,customer_configuration_id,customer_count,vehicle_count,seed,route_index,depot_candidate_id,eligible_depot_candidate_count,selected_depot_count,customer_count_on_route,haversine_distance_km,road_adjusted_distance_km,network_distance_km,route_proxy_distance_km,route_total_demand_kg,service_time_total_min,route_generation_method,route_proxy_limitation,scenario_id,analysis_configuration_id,charger_condition,scenario_route_proxy_id,charger_candidate_count,nearest_candidate_charger_id,nearest_charger_haversine_distance_km,nearest_charger_distance_km,maximum_charger_access_distance_km,charger_geographically_accessible,charger_public_access_known,charger_power_known,charger_connector_compatibility_known,charger_operating_status_known,assistance_candidate_charger_id,assistance_candidate_distance_km,assistance_candidate_power_kw,nominal_range_km,usable_range_km,battery_capacity_kwh,initial_soc_kwh,reserve_soc_kwh,minimum_soc_kwh,estimated_energy_kwh,base_consumption_kwh_per_km,payload_adjustment,speed_adjustment,temperature_adjustment,charging_efficiency,range_feasible,soc_feasible,energy_feasible,range_based_charging_required_proxy,charging_assisted_range_evaluated,charging_assisted_range_feasible,charger_arrival_soc_feasible,estimated_supplemental_energy_kwh_for_duration_proxy,estimated_supplemental_charging_duration_min,charging_duration_evaluated,charging_duration_feasible,charging_time_limit_min,vehicle_payload_capacity_kg,payload_utilization_ratio,payload_excess_kg,payload_feasible,travel_time_min,charging_time_total_min,waiting_time_total_min,detour_time_min,total_route_duration_min,operating_time_limit_min,time_overrun_min,operating_time_feasible,charging_time_in_operating_time_evaluation,waiting_time_status,detour_time_status,time_window_feasibility,network_mode_status,evaluation_scope
C025_V01_S001_R01,C025_S001,25,1,1,1,DEP_022,440,1,25,143.96244234921434,179.95305293651793,,179.95305293651793,464.0,254.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480,balanced,C025_V01_CHG_balanced_SPEED25_T480__S001_R01,106,17723_17964,0.4234325758643679,0.5292907198304598,5.0,True,False,True,True,False,17723_17964,0.5292907198304598,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,63.59540890776544,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,False,Not evaluated,34.89540890776544,43.619261134706804,True,True,60.0,2000.0,0.232,0.0,True,431.88732704764305,0.0,0.0,0.0,685.8873270476431,480.0,205.8873270476431,False,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V01_S001_R01,C025_S001,25,1,1,1,DEP_022,440,1,25,143.96244234921434,179.95305293651793,,179.95305293651793,464.0,254.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480,broad,C025_V01_CHG_broad_SPEED25_T480__S001_R01,106,17723_17964,0.4234325758643679,0.5292907198304598,10.0,True,False,True,True,False,17723_17964,0.5292907198304598,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,63.59540890776544,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,False,Not evaluated,34.89540890776544,43.619261134706804,True,True,90.0,2000.0,0.232,0.0,True,431.88732704764305,0.0,0.0,0.0,685.8873270476431,480.0,205.8873270476431,False,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V01_S001_R01,C025_S001,25,1,1,1,DEP_022,440,1,25,143.96244234921434,179.95305293651793,,179.95305293651793,464.0,254.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480,conservative,C025_V01_CHG_conservative_SPEED25_T480__S001_R01,12,62645_79567,1.2611035006411655,1.5763793758014568,3.0,True,False,True,True,True,62645_79567,1.5763793758014568,50.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,63.59540890776544,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,False,Not evaluated,34.89540890776544,41.87449068931853,True,True,60.0,2000.0,0.232,0.0,True,431.88732704764305,0.0,0.0,0.0,685.8873270476431,480.0,205.8873270476431,False,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R01,C025_S001,25,3,1,1,DEP_022,440,1,7,58.991362462068324,73.7392030775854,,73.7392030775854,133.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480,balanced,C025_V03_CHG_balanced_SPEED25_T480__S001_R01,106,17723_17964,0.4234325758643679,0.5292907198304598,5.0,True,False,True,True,False,17723_17964,0.5292907198304598,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,26.05943436761868,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,True,Not evaluated,Not evaluated,False,False,,Not evaluated,0.0,0.0,False,,60.0,2000.0,0.0665,0.0,True,176.97408738620496,0.0,0.0,0.0,236.97408738620496,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R01,C025_S001,25,3,1,1,DEP_022,440,1,7,58.991362462068324,73.7392030775854,,73.7392030775854,133.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480,broad,C025_V03_CHG_broad_SPEED25_T480__S001_R01,106,17723_17964,0.4234325758643679,0.5292907198304598,10.0,True,False,True,True,False,17723_17964,0.5292907198304598,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,26.05943436761868,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,True,Not evaluated,Not evaluated,False,False,,Not evaluated,0.0,0.0,False,,90.0,2000.0,0.0665,0.0,True,176.97408738620496,0.0,0.0,0.0,236.97408738620496,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R01,C025_S001,25,3,1,1,DEP_022,440,1,7,58.991362462068324,73.7392030775854,,73.7392030775854,133.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480,conservative,C025_V03_CHG_conservative_SPEED25_T480__S001_R01,12,62644_79566,3.060050303856304,3.82506287982038,3.0,False,False,True,True,True,62644_79566,3.82506287982038,50.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,26.05943436761868,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,True,Not evaluated,Not evaluated,False,False,,Not evaluated,0.0,0.0,False,,60.0,2000.0,0.0665,0.0,True,176.97408738620496,0.0,0.0,0.0,236.97408738620496,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R02,C025_S001,25,3,1,2,DEP_022,440,1,8,65.68148166208574,82.10185207760718,,82.10185207760718,160.0,83.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480,balanced,C025_V03_CHG_balanced_SPEED25_T480__S001_R02,106,17079_17320,0.5995883285732053,0.7494854107165067,5.0,True,False,True,True,False,17079_17320,0.7494854107165067,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,29.014794524226375,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,True,Not evaluated,0.31479452422637877,0.39349315528297346,True,True,60.0,2000.0,0.08,0.0,True,197.04444498625722,0.0,0.0,0.0,280.0444449862572,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R02,C025_S001,25,3,1,2,DEP_022,440,1,8,65.68148166208574,82.10185207760718,,82.10185207760718,160.0,83.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480,broad,C025_V03_CHG_broad_SPEED25_T480__S001_R02,106,17079_17320,0.5995883285732053,0.7494854107165067,10.0,True,False,True,True,False,17079_17320,0.7494854107165067,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,29.014794524226375,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,True,Not evaluated,0.31479452422637877,0.39349315528297346,True,True,90.0,2000.0,0.08,0.0,True,197.04444498625722,0.0,0.0,0.0,280.0444449862572,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R02,C025_S001,25,3,1,2,DEP_022,440,1,8,65.68148166208574,82.10185207760718,,82.10185207760718,160.0,83.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480,conservative,C025_V03_CHG_conservative_SPEED25_T480__S001_R02,12,62649_79571,3.406933511253622,4.258666889067028,3.0,False,False,True,True,True,62649_79571,4.258666889067028,50.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,29.014794524226375,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,False,Not evaluated,Not evaluated,True,True,False,Not evaluated,0.31479452422637877,0.37775342907165455,False,,60.0,2000.0,0.08,0.0,True,197.04444498625722,0.0,0.0,0.0,280.0444449862572,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R03,C025_S001,25,3,1,3,DEP_022,440,1,10,45.55506273710058,56.94382842137572,,56.94382842137572,171.0,111.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480,balanced,C025_V03_CHG_balanced_SPEED25_T480__S001_R03,106,17737_17978,0.6656715099679733,0.8320893874599666,5.0,True,False,True,True,False,17737_17978,0.8320893874599666,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,20.123948964114177,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,True,Not evaluated,Not evaluated,False,False,,Not evaluated,0.0,0.0,False,,60.0,2000.0,0.0855,0.0,True,136.66518821130174,0.0,0.0,0.0,247.66518821130174,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
C025_V03_S001_R03,C025_S001,25,3,1,3,DEP_022,440,1,10,45.55506273710058,56.94382842137572,,56.94382842137572,171.0,111.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.,C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480,broad,C025_V03_CHG_broad_SPEED25_T480__S001_R03,106,17737_17978,0.6656715099679733,0.8320893874599666,10.0,True,False,True,True,False,17737_17978,0.8320893874599666,48.0,116.0,81.19999999999999,41.0,36.9,8.200000000000001,8.200000000000001,20.123948964114177,0.3534,Not modeled,Not modeled,Not modeled,Not modeled,True,Not evaluated,Not evaluated,False,False,,Not evaluated,0.0,0.0,False,,90.0,2000.0,0.0855,0.0,True,136.66518821130174,0.0,0.0,0.0,247.66518821130174,480.0,0.0,True,False,Not modeled; fixed to 0,Not modeled; fixed to 0,Not evaluated,Data unavailable; baseline haversine-plus-multiplier mode used,Synthetic route-proxy constraint evaluation; not observed delivery performance
