destination_city_id,industry_group_id,compute_condition,inflow_sim
fukuoka,chem_polymer,classical_only,1204.0719480000002
fukuoka,chem_polymer,quantum_enabled,1204.5644706322037
fukuoka,inorganic,classical_only,937.0499760000002
fukuoka,inorganic,quantum_enabled,937.2969894385782
fukuoka,metal,classical_only,1402.572816
fukuoka,metal,quantum_enabled,1403.4388535401758
hiroshima,chem_polymer,classical_only,1192.0209559999998
hiroshima,chem_polymer,quantum_enabled,1192.5153111339378
hiroshima,inorganic,classical_only,868.38916
hiroshima,inorganic,quantum_enabled,868.6369381156111
hiroshima,metal,classical_only,1345.213292
hiroshima,metal,quantum_enabled,1346.1069906377493
nagoya,chem_polymer,classical_only,2114.4177799999998
nagoya,chem_polymer,quantum_enabled,2115.339106721251
nagoya,inorganic,classical_only,1940.7425
nagoya,inorganic,quantum_enabled,1941.307976936972
nagoya,metal,classical_only,2579.815908
nagoya,metal,quantum_enabled,2581.536362378764
osaka,chem_polymer,classical_only,2864.4120099999996
osaka,chem_polymer,quantum_enabled,2865.6896338446704
osaka,inorganic,classical_only,2169.277056
osaka,inorganic,quantum_enabled,2169.907604401383
osaka,metal,classical_only,2822.901356
osaka,metal,quantum_enabled,2824.7571308812535
sapporo,chem_polymer,classical_only,920.1406320000001
sapporo,chem_polymer,quantum_enabled,920.4807383494463
sapporo,inorganic,classical_only,694.691624
sapporo,inorganic,quantum_enabled,694.8663391356247
sapporo,metal,classical_only,1079.648176
sapporo,metal,quantum_enabled,1080.2764365766677
sendai,chem_polymer,classical_only,1245.9765559999998
sendai,chem_polymer,quantum_enabled,1246.4794349862486
sendai,inorganic,classical_only,845.6026199999999
sendai,inorganic,quantum_enabled,845.8370371696844
sendai,metal,classical_only,1273.425788
sendai,metal,quantum_enabled,1274.206802640656
tokyo,chem_polymer,classical_only,4034.35302
tokyo,chem_polymer,quantum_enabled,4036.1194995873348
tokyo,inorganic,classical_only,3234.86442
tokyo,inorganic,quantum_enabled,3235.781230703148
tokyo,metal,classical_only,4313.10598
tokyo,metal,quantum_enabled,4316.007559105602
