customer_configuration_id,customer_count,seed,customer_id,sampling_weight_source,mesh_code,mesh_population,latitude,longitude,demand_kg,service_time_min,time_window_start,time_window_end,customer_demand_source,customer_location_source,evidence_status
C025_S001,25,1,C025_S001_N001,e-Stat total_population by mesh cell,533935261,6887.0,35.60208333333333,139.703125,15,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N002,e-Stat total_population by mesh cell,533932952,3628.0,35.66041666666667,139.321875,22,8,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N003,e-Stat total_population by mesh cell,533933833,2454.0,35.65625000000001,139.415625,19,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N004,e-Stat total_population by mesh cell,533945521,7770.0,35.71041666666667,139.65312500000002,23,7,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N005,e-Stat total_population by mesh cell,533945592,6114.0,35.71041666666667,139.74687500000002,30,8,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N006,e-Stat total_population by mesh cell,533956453,3919.0,35.78958333333333,139.815625,9,13,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N007,e-Stat total_population by mesh cell,533944904,2125.0,35.747916666666676,139.509375,13,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N008,e-Stat total_population by mesh cell,533946994,2742.0,35.747916666666676,139.87187500000002,10,6,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N009,e-Stat total_population by mesh cell,533946443,6512.0,35.706250000000004,139.80312500000002,24,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N010,e-Stat total_population by mesh cell,533947804,6130.0,35.73958333333334,139.884375,24,7,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N011,e-Stat total_population by mesh cell,533945152,78.0,35.677083333333336,139.696875,19,7,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N012,e-Stat total_population by mesh cell,533947604,5595.0,35.72291666666667,139.884375,15,6,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N013,e-Stat total_population by mesh cell,533942592,3052.0,35.71041666666667,139.37187500000002,16,6,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N014,e-Stat total_population by mesh cell,533935232,5619.0,35.60208333333333,139.671875,22,14,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N015,e-Stat total_population by mesh cell,533934792,5201.0,35.64375,139.62187500000002,20,13,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N016,e-Stat total_population by mesh cell,533933751,1639.0,35.64375,139.440625,17,11,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N017,e-Stat total_population by mesh cell,533935571,8882.0,35.62708333333333,139.71562500000002,9,15,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N018,e-Stat total_population by mesh cell,533946342,7281.0,35.69375,139.80937500000002,21,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N019,e-Stat total_population by mesh cell,533935442,4119.0,35.61875,139.68437500000002,6,10,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N020,e-Stat total_population by mesh cell,533943841,3180.0,35.73541666666667,139.42812500000002,29,13,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N021,e-Stat total_population by mesh cell,533934571,3159.0,35.62708333333333,139.59062500000002,21,12,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N022,e-Stat total_population by mesh cell,533945282,2541.0,35.68541666666667,139.734375,13,15,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
C025_S001,25,1,C025_S001_N023,e-Stat total_population by mesh cell,533943381,2624.0,35.69375,139.478125,30,14,0.0,480.0,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample; not observed orders,Synthetic data with assumed parameters
