destination_city_id,industry_group_id,compute_condition,inflow_sim
fukuoka,chem_polymer,classical_only,1206.7238222777164
fukuoka,chem_polymer,quantum_enabled,1207.4946039952174
fukuoka,inorganic,classical_only,939.1137552720083
fukuoka,inorganic,quantum_enabled,939.5107604142348
fukuoka,metal,classical_only,1405.6618729118836
fukuoka,metal,quantum_enabled,1406.9636074356852
hiroshima,chem_polymer,classical_only,1167.716519482343
hiroshima,chem_polymer,quantum_enabled,1168.4610684328632
hiroshima,inorganic,classical_only,850.6833393887041
hiroshima,inorganic,quantum_enabled,851.0553739983637
hiroshima,metal,classical_only,1317.7853756588024
hiroshima,metal,quantum_enabled,1319.044187845254
nagoya,chem_polymer,classical_only,2213.0673475023777
nagoya,chem_polymer,quantum_enabled,2214.5565367431823
nagoya,inorganic,classical_only,2031.2891318290626
nagoya,inorganic,quantum_enabled,2032.212223947981
nagoya,metal,classical_only,2700.1789346294654
nagoya,metal,quantum_enabled,2702.833680882191
osaka,chem_polymer,classical_only,3067.1938769019202
osaka,chem_polymer,quantum_enabled,3069.303851898332
osaka,inorganic,classical_only,2322.847858561738
osaka,inorganic,quantum_enabled,2323.911552121975
osaka,metal,classical_only,3022.7445367474656
osaka,metal,quantum_enabled,3025.719380844376
sapporo,chem_polymer,classical_only,900.838971113125
sapporo,chem_polymer,quantum_enabled,901.3791514570679
sapporo,inorganic,classical_only,680.119175310004
sapporo,inorganic,quantum_enabled,680.3969315505594
sapporo,metal,classical_only,1057.0005477510551
sapporo,metal,quantum_enabled,1057.9398042955322
sendai,chem_polymer,classical_only,1229.3918359359807
sendai,chem_polymer,quantum_enabled,1230.1664567453356
sendai,inorganic,classical_only,834.3471251268676
sendai,inorganic,quantum_enabled,834.7072725156006
sendai,metal,classical_only,1256.4757016483888
sendai,metal,quantum_enabled,1257.6276351705653
tokyo,chem_polymer,classical_only,4605.4756158403015
tokyo,chem_polymer,quantum_enabled,4608.690528725337
tokyo,inorganic,classical_only,3692.807528989959
tokyo,inorganic,quantum_enabled,3694.517139844997
tokyo,metal,classical_only,4923.690197895718
tokyo,metal,quantum_enabled,4928.723046004712
