customer_id,latitude,longitude,demand_kg,mesh_population
C050_S001_N001,35.73541666666667,139.753125,30,8294.0
C050_S001_N002,35.69791666666667,139.834375,5,5976.0
C050_S001_N003,35.75625,139.796875,14,4213.0
C050_S001_N004,35.706250000000004,139.521875,14,3505.0
C050_S001_N005,35.60625,139.384375,7,2468.0
C050_S001_N006,35.69375,139.86562500000002,29,5404.0
C050_S001_N007,35.75625,139.640625,20,4338.0
C050_S001_N008,35.64375,139.534375,6,2745.0
C050_S001_N009,35.614583333333336,139.703125,14,7725.0
C050_S001_N010,35.67291666666667,139.834375,27,5657.0
C050_S001_N011,35.78541666666666,139.846875,20,2353.0
C050_S001_N012,35.66458333333334,139.628125,9,5338.0
C050_S001_N013,35.67291666666667,139.87187500000002,12,4289.0
C050_S001_N014,35.581250000000004,139.703125,7,2672.0
C050_S001_N015,35.677083333333336,139.640625,15,4825.0
C050_S001_N016,35.706250000000004,139.440625,30,3002.0
C050_S001_N017,35.56041666666666,139.74062500000002,13,5228.0
C050_S001_N018,35.65208333333334,139.74062500000002,25,3360.0
C050_S001_N019,35.75625,139.396875,23,946.0
C050_S001_N020,35.59375,139.728125,19,5649.0
C050_S001_N021,35.72291666666667,139.796875,14,6735.0
C050_S001_N022,35.547916666666666,139.709375,20,7276.0
C050_S001_N023,35.543749999999996,139.478125,28,1373.0
C050_S001_N024,35.60625,139.728125,15,8305.0
C050_S001_N025,35.65208333333334,139.565625,22,3939.0
C050_S001_N026,35.78541666666666,139.67812500000002,17,6345.0
C050_S001_N027,35.68958333333334,139.734375,25,3240.0
C050_S001_N028,35.77708333333333,139.765625,22,2219.0
C050_S001_N029,35.73125,139.884375,25,5670.0
C050_S001_N030,35.64375,139.521875,12,1218.0
C050_S001_N031,35.62291666666667,139.359375,21,109.0
C050_S001_N032,35.577083333333334,139.703125,20,4480.0
C050_S001_N033,35.760416666666664,139.62187500000002,8,3030.0
C050_S001_N034,35.72708333333333,139.771875,15,3842.0
C050_S001_N035,35.65625000000001,139.815625,7,3740.0
C050_S001_N036,35.62291666666667,139.628125,10,4533.0
C050_S001_N037,35.67291666666667,139.86562500000002,21,5535.0
C050_S001_N038,35.747916666666676,139.853125,26,5826.0
C050_S001_N039,35.62291666666667,139.578125,20,1876.0
C050_S001_N040,35.69375,139.790625,19,4375.0
C050_S001_N041,35.60625,139.709375,26,6861.0
C050_S001_N042,35.706250000000004,139.453125,11,2835.0
C050_S001_N043,35.77708333333333,139.665625,5,4545.0
C050_S001_N044,35.743750000000006,139.828125,15,4685.0
C050_S001_N045,35.764583333333334,139.478125,20,2103.0
C050_S001_N046,35.66875,139.30312500000002,16,1512.0
C050_S001_N047,35.76875,139.703125,26,5885.0
C050_S001_N048,35.73958333333334,139.703125,18,6116.0
C050_S001_N049,35.764583333333334,139.696875,11,6118.0
C050_S001_N050,35.77708333333333,139.834375,21,3916.0
