file,sha256,bytes,inspection
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/R24_GATE_A_REQUEST_EVENT_TEMPORAL_EVIDENCE.md,e2484c30fc5bb2dd89a89da26a5829490b95c7905773e2a1815e8fb82b29cf1f,5477,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/PLANNING_HORIZON_OPTIONS.md,be38d42bb51067e1711b54937b305ace92d9d327ca1386f79b5b847bfcb722f1,2890,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/GATE_A_ACCEPTANCE_CRITERIA.md,a86339a8dd1b0b923fefe735be68d6dac0e48836134169c250f1044b2d61a13c,2847,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/GATE_A_STOP_REASSESSMENT.csv,48c19a76393759f1be045b9f0a00021983d98e9936cac9c9dbb60aaf5c52638c,1229,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/LEGACY_DISPATCH_CONFLICTS.csv,f4f23ee90a7c827e4d8b0c4b88c886ea8d232468b954267669a061a6a4aca415,65805,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/REQUEST_SCHEMA_PROPOSAL.md,90733e9bd04f804c607b1452b39cd3cbefaf6440214588c5e4f04ea8700810c9,2980,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/ELIGIBLE_STOP_PREREQUISITES.md,195a8ec16b20145249ac0a2ebc721f02de409a0e4dfd8bf55b4412888564ce34,2404,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_gate_a_request_event_temporal_evidence/20260915_v1/EVIDENCE_STATISTICS.json,1bae40cb5aa8f17207c6fe2b597521f58c3e3ec769c1b9132a44e35f3ec5c3dd,945,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_AUTHORITY.md,6adf24a39dd6f8e42dd904f01a3df7d9ade1a92f8b4f25ff87737727b14e83e5,4648,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_FEASIBILITY_AUDIT.md,ea588b4d53176b181f9d3a5cc04808caf88d7038e837764b0ac1e57d89e572f9,8777,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/INSTANCE_GENERATION_POLICY.md,714e06b73ef4fe48d2ef5fc54f7423d01266eae7988a38ec359b7de6e49d44f3,4941,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_data_gate_execution_pipeline/20260914_v1/R24_DATA_GATE_EXECUTION_PIPELINE.md,c9004f975a6fd300d0a5f83c802cff554c4b0b2977e899d08cf630e7e071ad76,6692,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_data_gate_execution_pipeline/20260914_v1/GATE_A_SERVICE_EVENT_BATCH.md,9b5beb80f19f2a93c9b5cea14dcb71346ff4ebf1526826bce81ea320c1400513,6353,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/R24_PROBLEM_DATA_SPEC_FREEZE_REVIEW.md,36ac45336d6c1f6b17d576e6af6c6daa690ad7cbfbbdfb200b6bfdde8ef94a0a,7743,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/DISPATCH_BATCH_SPEC.md,bba936c4e843b56b254f7c6eabc8d03d193f63239312b17440da1d1a70122d2c,2447,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/CUSTOMER_SERVICE_STOP_SPEC.md,37fa94a81d333e277a305db57690e1784615455d5f393923dc4b60fb699f9788,3588,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/R24_DATA_SPECIFICATION_DRAFT.md,b3fb9578fd72deb62bc2acbdf54d847bd290d7ed927cef57bfc320139a789593,7257,FULL_TEXT_OR_FULL_BYTE_HASH
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/daily_requests.csv,4bb78cf27b2a3e9a0648cca39266cb06de4dee0789febed9cd74b61a8e4c2f99,10051846,FULL_TEXT_OR_FULL_BYTE_HASH
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/request_building_mapping.csv,bdbb2b2c25c2a64f7fe0f6e4b89fa812a02d152d7cdbd10f17b34ce3601f88e4,12438316,FULL_TEXT_OR_FULL_BYTE_HASH
03_data/processed/traffic_simulation/demand/household_parcel_v1/pipelines_v1/building_delivery_stops_scoped.csv,fcfca5cb87bc482f1d98306c98823773e872f200c58ecb9090aa12985e3e80e0,9168049,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/demand/candidate_validation/20260909_r03_edge_mapping/candidate_validation_manifest.json,c99d877a255f58433a642a4ac88854d2af02f1879579631360c46f1221bd986f,1351,FULL_TEXT_OR_FULL_BYTE_HASH
reproducibility/outputs/traffic_simulation/demand/candidate_validation/20260909_r03_edge_mapping/candidate_delivery_edge_connections.csv,226ff0d1ae91f08ea872cd99a3da5092fee19cf99259f7da81db79135762df7a,7081464,FULL_TEXT_OR_FULL_BYTE_HASH
